Task,Area,Status,Done on staging,Your action required,Reference / files
A,Discovery + safety baseline,Completed,"Inventory written (seo-findings.md); DB + uploads snapshots taken",None,backups/seo-programme-2026-06-29/
B,404 redirects + Flex CS60 link,Waiting production,"No 301s needed (drafts skipped); broken Flex CS60 anchor removed from product 167823 (text kept); duplicate guide 50398 set to draft + 301 to 137158","Push to prod: copy ats-seo-redirects.php; run fix-cs60-link.php apply; set 50398 to draft",apply-scripts/fix-cs60-link.php; mu-plugins/ats-seo-redirects.php
C,Footer logo alt,Waiting production,"Descriptive alt set on footer logo attachment 4883; verified in render","Push to prod: set _wp_attachment_image_alt on the prod footer-logo attachment",seo-progress.md
D,Product image rename (SEO filenames),Waiting your action,"215 images renamed to SEO slugs on staging; 0 collisions, 0 errors; URLs verified 200","REVIEW rename-full-url-map.csv first; then on prod: snapshot, dry-run, --product subset, full run",apply-scripts/rename-product-images.php; rename-full-url-map.csv
E,Meta titles + descriptions,Waiting production,"Homepage, shop, 9 categories, 5 kit products: unique title <=60 / desc <=155; verified in source","Push to prod: run apply-meta.php apply, then refresh Yoast indexables",apply-scripts/apply-meta.php; e-meta.json
F,Product image alt text,Waiting production,"17 weak alts rewritten (117 of 134 already good); applied + verified","Push to prod: run apply-alt.php apply",apply-scripts/apply-alt.php; alt-proposed.csv
G,Product descriptions,Waiting production,"67 of 137 products rewritten: top-25 best-sellers + all 41 thin/original (<50-word) products + 1 sample. New short + long + SEO title, real data only, 0 em dashes. 39 existing good metadescs preserved; 2 factually-wrong metas corrected (166920, 166993). ~69 products with longer original copy left as-is (out of chosen scope).","Push to prod: run apply-descriptions.php apply against g-descriptions.json, g-thin-descriptions.json and sample-desc-166879.json, then refresh Yoast indexables",apply-scripts/apply-descriptions.php; g-descriptions.json; g-thin-descriptions.json; sample-desc-166879.json
H,Category intro copy,Waiting production,"All 9 categories given keyword-led intros with 1 internal link each, rendering below the banner. NOTE: later shortened to ~60-70 words (see task L); live content = category-copy-short.json.","Push to prod: run apply-cat-copy.php apply against category-copy-short.json (the shortened, live version)",apply-scripts/apply-cat-copy.php; category-copy-short.json
I,Expand buying guides,Waiting production,"5 guides expanded to 1500+ words + FAQ schema + internal links; duplicate consolidated","Push to prod: run apply-guides.php apply (--user=admin); copy ats-seo-redirects.php",apply-scripts/apply-guides.php; i-guides.json
J,Review-request email automation,Waiting your action,"Built (mu-plugin): fires on Completed/Dispatched, +12 day delay, personalised, per-product review links; dry-tested on a dummy order; DISABLED by default","Live send-test: wp ats-review-email test <order_id> --email=you@x --send ; then wp ats-review-email enable ; copy mu-plugin to prod",mu-plugins/ats-review-request.php
K,AggregateRating schema,Waiting your action,"Product JSON-LD + offers + aggregateRating (mu-plugin), guarded to reviewCount>0; validated on staging","Run Google Rich Results Test on a few product URLs; copy mu-plugin to prod",mu-plugins/ats-product-schema.php
P1,Copy mu-plugins to production,Waiting production,"3 mu-plugins created on staging","Copy ats-seo-redirects.php, ats-product-schema.php, ats-review-request.php into prod wp-content/mu-plugins/",backups/seo-programme-2026-06-29/mu-plugins/
P2,Flush caches + regenerate sitemaps (prod),Waiting production,"Done on staging (transients + WP Rocket flushed)","After prod changes: wp transient delete --all; clear WP Rocket; regenerate Yoast sitemaps incl. images",seo-progress.md FINAL HANDOFF
M,Scheduled SEO articles (Phase 3 p3b/p3c),Done (staging, scheduled),"10 in-depth articles (~1,200-1,300 words) written + scheduled to publish weekly, Mon 6 Jul to 7 Sep 2026, in a new Guides category. Each: H1/H2/H3 structure, real internal product + category links, an [ats_product] card, 6-item FAQ + FAQPage schema, Yoast meta, featured image. Distinct from the 5 expanded guides. Dashboard p3b + p3c ticked.","Production: re-run create-articles.php against articles-batch-1.json + articles-batch-2.json (--user=admin); create the Guides category; ensure WP-cron runs so the scheduled posts publish on their dates.",apply-scripts/create-articles.php; articles-batch-1.json; articles-batch-2.json
L,Category banner + compact graphic description,Done (staging),"Banner: breadcrumbs + title + short additional description (ACF field category_banner_description, 9 blurbs). Below banner: full description restyled as a compact full-width graphic band (yellow accent bar, icon, subtle gradient, text-xs/sm) and shortened to ~60-70 words. Built + deployed (theme v0.0.100), verified.","Production: deploy theme (archive-product.php + ACF field) to prod; run apply-banner-desc.php (banner-desc.json) and apply-cat-copy.php (category-copy-short.json). Eyeball a few categories.",src/woocommerce/archive-product.php; src/functions/acf/options/product-category-settings.php; banner-desc.json; category-copy-short.json; apply-scripts/
N,Blog index page + on-page image performance,Done (staging),"Built a dedicated blog index (full-width hero, articles listed with thumbnails + short summaries, sidebar with best-sellers + newsletter sign-up + shop CTA); single-article pages restyled with a compact header + clear prev/next. Fixed image weight: article thumbnails now serve a fixed 440px WebP via wpimage() (single URL, no oversized srcset) instead of full-size originals (some were 3024x3024). Added a cache-bust key (?c=mtime) that survives the parent theme's ver-stripping for CSS + JS so future builds reach browsers. Theme v0.0.109.","Production: deploy theme (home.php, single.php, _blog.scss, enqueue.php, search-shortcode.php) then purge WP Rocket + transients.",src/home.php; src/single.php; src/assets/scss/builds/components/_blog.scss; src/functions/setup/enqueue.php; src/functions/shortcodes/search/search-shortcode.php
